umeta_id,user_id,meta_key,meta_value
"4701","299","profile.tagline","CAMHS Clinician"
"4700","299","joined","2016-08-24 07:01:39"
"4699","299","pending","1"
"4698","299","_yoast_wpseo_profile_updated","1477709363"
"4697","299","dismissed_wp_pointers",""
"4696","299","wp_user_level","0"
"46","1","itsec-settings-view","grid"
"47","1","last_activity","2017-11-17 15:31:44"
"7164","378","nickname","scotton2"
"52","1","closedpostboxes_page","a:1:{i:0;s:8:""cb_style"";}"
"53","1","metaboxhidden_page","a:20:{i:0;s:9:""authordiv"";i:1;s:23:""acf-group_5808da85be256"";i:2;s:23:""acf-group_589cdaa9dd85f"";i:3;s:27:""acf-group_copyright_options"";i:4;s:23:""acf-group_589ce0ee15e80"";i:5;s:23:""acf-group_589cc435ee9f5"";i:6;s:23:""acf-group_58d2d4a00b115"";i:7;s:23:""acf-group_584eb43ab57da"";i:8;s:23:""acf-group_58b860a225c9e"";i:9;s:23:""acf-group_58cfba3c911a4"";i:10;s:23:""acf-group_58dba034adb4f"";i:11;s:35:""acf-group_social_media_profile_urls"";i:12;s:23:""acf-group_58262b5e352a3"";i:13;s:23:""acf-group_58c28b61bb5e6"";i:14;s:22:""acf-group_facebook_api"";i:15;s:21:""acf-group_twitter_api"";i:16;s:22:""acf-group_linkedin_api"";i:17;s:10:""postcustom"";i:18;s:16:""commentstatusdiv"";i:19;s:7:""slugdiv"";}"
"54","1","nav_menu_recently_edited","31"
"55","1","managenav-menuscolumnshidden","a:3:{i:0;s:15:""title-attribute"";i:1;s:3:""xfn"";i:2;s:11:""description"";}"
"7291","33","bp_xprofile_visibility_levels","a:9:{i:1;s:6:""public"";i:5;s:6:""public"";i:6;s:6:""public"";i:7;s:6:""public"";i:2;s:6:""public"";i:4;s:6:""public"";i:3;s:6:""public"";i:8;s:6:""public"";i:9;s:6:""public"";}"
"56","1","metaboxhidden_nav-menus","a:3:{i:0;s:12:""add-post_tag"";i:1;s:15:""add-post_format"";i:2;s:18:""add-media_category"";}"
"57","1","closedpostboxes_nav-menus","a:0:{}"
"58","1","edit_page_per_page","99"
"59","1","bp_latest_update","a:2:{s:2:""id"";i:687;s:7:""content"";s:4:""test"";}"
"105","5","wp_user_level","0"
"4906","304","dismissed_wp_pointers",""
"4905","304","wp_user_level","0"
"4904","304","wp_capabilities","a:1:{s:13:""bbp_spectator"";b:1;}"
"4903","304","show_admin_bar_front","true"
"4902","304","use_ssl","0"
"4901","304","admin_color","fresh"
"4900","304","comment_shortcuts","false"
"4899","304","rich_editing","true"
"4898","304","description",""
"4897","304","last_name",""
"4896","304","first_name",""
"4895","304","nickname","Christopher Bayne"
"4894","37","instagram",""
"4893","37","position",""
"4892","37","publicemail",""
"4891","37","facebook",""
"4890","37","twitter",""
"4889","37","googleplus",""
"4888","36","instagram",""
"4887","36","position",""
"4881","303","pending","1"
"4882","303","joined","2015-07-01 17:03:36"
"4883","36","googleplus",""
