id,group_id,user_id,inviter_id,is_admin,is_mod,user_title,date_modified,comments,is_confirmed,is_banned,invite_sent
"207","38","430","466","0","0","","2017-04-27 23:41:59","","0","0","1"
"208","38","370","466","0","0","","2017-04-27 23:42:05","","0","0","1"
"209","38","372","466","0","0","","2017-04-27 23:42:06","","0","0","1"
"210","39","389","0","1","0","Research Group Admin","2017-04-28 00:18:44","","1","0","0"
"212","35","394","0","0","0","","2017-04-28 18:23:59","","1","0","0"
"213","3","394","0","0","0","","2017-04-28 18:24:49","","1","0","0"
"214","37","394","0","0","0","","2017-04-28 18:25:10","","1","0","0"
"215","27","394","0","0","0","","2017-04-28 18:27:11","","1","0","0"
"216","32","394","0","0","0","","2017-04-28 18:27:14","","1","0","0"
"217","38","492","0","0","0","","2017-04-29 13:37:44","","1","0","0"
"218","40","497","0","1","0","Research Group Admin","2017-04-30 21:49:19","","1","0","0"
"220","3","507","0","0","1","Research Group Mod","2017-05-12 18:26:39","","1","0","0"
"221","35","507","0","0","0","","2017-05-12 18:28:07","","1","0","0"
"222","32","507","0","0","0","","2017-05-12 18:28:19","","1","0","0"
"223","39","473","0","0","0","","2017-05-25 19:41:35","","1","0","0"
"224","41","513","0","1","0","Research Group Admin","2017-07-30 09:32:02","","1","0","0"
"225","42","395","0","1","0","Research Group Admin","2017-08-01 21:46:56","","1","0","0"
"21726","42","834","0","0","0","","2017-11-16 02:44:28","","1","0","0"
"21727","41","834","0","0","0","","2017-11-16 02:44:29","","1","0","0"
"21728","42","836","0","0","0","","2017-11-16 10:47:23","","1","0","0"
"21729","42","842","0","0","0","","2017-11-16 15:29:40","","1","0","0"
"21730","38","844","0","0","0","","2017-11-17 03:47:21","","1","0","0"
"21731","27","844","0","0","0","","2017-11-17 03:47:21","","1","0","0"
"21732","33","844","0","0","0","","2017-11-17 03:47:23","","1","0","0"
"21733","36","844","0","0","0","","2017-11-17 03:47:24","","1","0","0"
"21734","41","851","0","0","0","","2017-11-18 21:54:16","","1","0","0"
